n_tasks,last_acc,dataset
1,0.0078125,seen_mnist
1,0.00390625,unseen_mnist
1,-0.0390625,unseen_fashion_mnist
2,-0.01953125,unseen_fashion_mnist
2,0.0390625,unseen_mnist
2,-0.01953125,seen_mnist
4,0.0078125,seen_mnist
4,0.0234375,unseen_mnist
4,0.015625,unseen_fashion_mnist
8,-0.01953125,seen_mnist
8,0.0078125,unseen_mnist
8,0.01171875,unseen_fashion_mnist
16,0.01953125,unseen_fashion_mnist
16,0.0078125,seen_mnist
16,0.00390625,unseen_mnist
32,0.00390625,unseen_fashion_mnist
32,-0.00390625,unseen_mnist
32,0.0,seen_mnist
64,0.0078125,seen_mnist
64,-0.02734375,unseen_mnist
64,0.01171875,unseen_fashion_mnist
128,-0.05078125,unseen_fashion_mnist
128,-0.0078125,seen_mnist
128,-0.03125,unseen_mnist
256,0.0078125,seen_mnist
256,0.02734375,unseen_mnist
256,0.0,unseen_fashion_mnist
512,-0.00390625,seen_mnist
512,-0.03515625,unseen_fashion_mnist
512,0.00390625,unseen_mnist
1024,-0.02734375,unseen_fashion_mnist
1024,0.00390625,unseen_mnist
1024,0.0,seen_mnist
2048,0.01953125,seen_mnist
2048,0.046875,unseen_mnist
2048,0.0078125,unseen_fashion_mnist
4096,0.0078125,unseen_mnist
4096,-0.0078125,unseen_fashion_mnist
4096,0.046875,seen_mnist
8192,-0.05078125,unseen_mnist
8192,0.16015625,seen_mnist
8192,-0.03125,unseen_fashion_mnist
16384,0.41796875,unseen_mnist
16384,0.5234375,seen_mnist
16384,0.37890625,unseen_fashion_mnist
32768,0.5,unseen_mnist
32768,0.4609375,unseen_fashion_mnist
32768,0.4765625,seen_mnist
65536,0.53125,unseen_mnist
65536,0.4609375,unseen_fashion_mnist
65536,0.56640625,seen_mnist
131072,0.41015625,unseen_mnist
131072,0.5234375,seen_mnist
131072,0.48046875,unseen_fashion_mnist
