model,dataset,n_tasks,accuracy,hid_size
mlp,test,1,0.0414000004529953,4
mlp,test,1,0.0562000013887882,2
mlp,test,1,0.0746000036597251,512
mlp,test,1,0.0749000012874603,64
mlp,test,1,0.0803000032901763,16
mlp,test,1,0.0886000022292137,128
mlp,test,1,0.09740000218153,256
mlp,test,1,0.1024999991059303,32
mlp,test,1,0.1318999975919723,8
mlp,test,4,0.0786750018596649,16
mlp,test,4,0.0788749977946281,64
mlp,test,4,0.0792500004172325,128
mlp,test,4,0.0793249979615211,512
mlp,test,4,0.0811000019311904,32
mlp,test,4,0.0835999995470047,8
mlp,test,4,0.0841000005602836,256
mlp,test,4,0.0934500023722648,2
mlp,test,4,0.099600002169609,4
mlp,test,16,0.0880300030112266,16
mlp,test,16,0.0951900035142898,32
mlp,test,16,0.096280001103878,4
mlp,test,16,0.096560001373291,8
mlp,test,16,0.0979000031948089,256
mlp,test,16,0.0979800000786781,128
mlp,test,16,0.100270003080368,64
mlp,test,16,0.1011399999260902,2
mlp,test,16,0.1030500009655952,512
mlp,test,64,0.0990699976682663,8
mlp,test,64,0.0993399992585182,4
mlp,test,64,0.0999500006437301,64
mlp,test,64,0.1002499982714653,2
mlp,test,64,0.1003400012850761,512
mlp,test,64,0.1003499999642372,128
mlp,test,64,0.1013099998235702,256
mlp,test,64,0.1018500030040741,32
mlp,test,64,0.1083400025963783,16
mlp,test,256,0.0959199965000152,2
mlp,test,256,0.097690001130104,16
mlp,test,256,0.0983500033617019,128
mlp,test,256,0.099600002169609,4
mlp,test,256,0.099770002067089,64
mlp,test,256,0.100610002875328,512
mlp,test,256,0.1017400026321411,8
mlp,test,256,0.1019100025296211,256
mlp,test,256,0.1023000031709671,32
mlp,test,1024,0.098480001091957,16
mlp,test,1024,0.0989599972963333,8
mlp,test,1024,0.098980002105236,32
mlp,test,1024,0.0994699969887733,64
mlp,test,1024,0.1004000008106231,2
mlp,test,1024,0.1004099994897842,256
mlp,test,1024,0.101790003478527,128
mlp,test,1024,0.1019399985671043,4
mlp,test,1024,0.1031700000166893,512
mlp,test,4096,0.0990599989891052,32
mlp,test,4096,0.0993800014257431,16
mlp,test,4096,0.099650003015995,128
mlp,test,4096,0.0998699963092804,256
