model,dataset,n_tasks,accuracy,hid_size
transformer,test,1,0.061999998986721,512
transformer,test,1,0.0700000002980232,256
transformer,test,1,0.0939999967813491,128
transformer,test,1,0.1140000000596046,2
transformer,test,1,0.1199999898672103,64
transformer,test,1,0.1280000060796737,4
transformer,test,1,0.1360000073909759,16
transformer,test,1,0.1459999978542328,8
transformer,test,1,0.1539999991655349,32
transformer,test,4,0.0689999982714653,512
transformer,test,4,0.0710000023245811,64
transformer,test,4,0.0750000029802322,256
transformer,test,4,0.0764999985694885,16
transformer,test,4,0.0764999985694885,128
transformer,test,4,0.0829999968409538,32
transformer,test,4,0.0925000011920929,8
transformer,test,4,0.0970000028610229,4
transformer,test,4,0.12950000166893,2
transformer,test,16,0.1022500023245811,4
transformer,test,16,0.1023750081658363,512
transformer,test,16,0.1026249974966049,32
transformer,test,16,0.103250004351139,64
transformer,test,16,0.1036249995231628,16
transformer,test,16,0.1036249995231628,128
transformer,test,16,0.1046250015497207,8
transformer,test,16,0.1106250062584877,256
transformer,test,16,0.1158749908208847,2
transformer,test,64,0.0891249999403953,256
transformer,test,64,0.0916249975562095,4
transformer,test,64,0.0973749980330467,128
transformer,test,64,0.100500002503395,8
transformer,test,64,0.1047499999403953,16
transformer,test,64,0.106624998152256,512
transformer,test,64,0.1068750023841857,2
transformer,test,64,0.1112499982118606,32
transformer,test,64,0.1133749932050705,64
transformer,test,256,0.0856250002980232,8
transformer,test,256,0.0900000035762786,256
transformer,test,256,0.090999998152256,4
transformer,test,256,0.0967499986290931,32
transformer,test,256,0.09825000166893,16
transformer,test,256,0.0983750000596046,128
transformer,test,256,0.0988750010728836,512
transformer,test,256,0.1052500009536743,2
transformer,test,256,0.1059999912977218,64
transformer,test,1024,0.0918750017881393,256
transformer,test,1024,0.0938749983906745,512
transformer,test,1024,0.0947500020265579,32
transformer,test,1024,0.0951249971985817,64
transformer,test,1024,0.0989999994635582,2
transformer,test,1024,0.103250004351139,16
transformer,test,1024,0.1048749908804893,128
transformer,test,1024,0.1049999967217445,8
transformer,test,1024,0.1151250004768371,4
transformer,test,4096,0.092749997973442,4
transformer,test,4096,0.093249998986721,512
transformer,test,4096,0.0972499996423721,2
transformer,test,4096,0.1027500033378601,256
transformer,test,4096,0.1053750067949295,8
transformer,test,4096,0.1058750003576278,64
transformer,test,4096,0.1107499971985817,32
transformer,test,4096,0.111625000834465,128
transformer,test,4096,0.1120000034570694,16
transformer,test,16384,0.3706249892711639,64
transformer,test,16384,0.4112499952316284,512
transformer,test,16384,0.465624988079071,128
transformer,test,16384,0.4981249868869781,256
transformer,test,65536,0.3531250059604645,64
transformer,test,65536,0.4149999916553497,128
transformer,test,65536,0.518750011920929,256
transformer,test,65536,0.5487499833106995,512
transformer,train,1,0.1923999935388565,2
transformer,train,1,0.4656000137329101,4
transformer,train,1,0.8423999547958374,8
transformer,train,1,0.9747999310493468,16
transformer,train,1,0.9883999824523926,32
transformer,train,1,0.9959999918937684,64
transformer,train,1,0.9980000257492064,128
transformer,train,1,0.9983999729156494,256
transformer,train,1,0.9991999864578248,512
transformer,train,4,0.1026000007987022,2
transformer,train,4,0.4209999740123749,4
transformer,train,4,0.7993000149726868,8
transformer,train,4,0.9311000108718872,16
transformer,train,4,0.9541000127792358,32
transformer,train,4,0.962100088596344,64
transformer,train,4,0.989300012588501,128
transformer,train,4,0.9976999759674072,256
transformer,train,4,0.9994999766349792,512
transformer,train,16,0.1163500025868415,2
transformer,train,16,0.39614999294281,4
transformer,train,16,0.6680499315261841,8
