,model_name,trained_on,dataset,valid_loss,valid_accuracy,train_loss,train_accuracy
0,MLP,MNIST,MNIST,tensor(1.4371),1.0,tensor(2.5879),tensor(0.3333)
1,MLP,MNIST,FashionMNIST,tensor(0.6583),1.0,tensor(3.0733),tensor(0.3232)
2,MLP,MNIST,KMNIST,tensor(2.3440),0.0,tensor(3.1869),tensor(0.1212)
3,MLP,MNIST,CIFAR10,tensor(2.3568),0.0,tensor(2.8779),tensor(0.1313)
4,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4928),tensor(0.1313)
5,MLP,MNIST,MNIST,tensor(2.3138),0.0,tensor(2.0503),tensor(0.4747)
6,MLP,MNIST,FashionMNIST,tensor(2.8556),0.0,tensor(2.2770),tensor(0.3232)
7,MLP,MNIST,KMNIST,tensor(3.3772),0.0,tensor(2.8363),tensor(0.1818)
8,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5691),tensor(0.0808)
9,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.8187),tensor(0.0606)
10,MLP,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.4496),tensor(0.2020)
11,MLP,MNIST,FashionMNIST,tensor(2.3406),0.0,tensor(2.5025),tensor(0.2828)
12,MLP,MNIST,KMNIST,tensor(1.9792),0.0,tensor(3.3332),tensor(0.1717)
13,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(3.2890),tensor(0.1212)
14,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(3.1131),tensor(0.1111)
15,MLP,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.6364),tensor(0.0808)
16,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.5266),tensor(0.1414)
17,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.6834),tensor(0.1919)
18,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.4610),tensor(0.1010)
19,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4607),tensor(0.0707)
20,MLP,MNIST,MNIST,tensor(1.6546),1.0,tensor(2.6458),tensor(0.1616)
21,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.4618),tensor(0.2222)
22,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.6551),tensor(0.1010)
23,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5095),tensor(0.0606)
24,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.3776),tensor(0.1010)
25,MLP,MNIST,MNIST,tensor(2.3026),1.0,tensor(2.6785),tensor(0.1919)
26,MLP,MNIST,FashionMNIST,tensor(2.2866),1.0,tensor(2.4220),tensor(0.3030)
27,MLP,MNIST,KMNIST,tensor(1.9707),1.0,tensor(3.0951),tensor(0.3131)
28,MLP,MNIST,CIFAR10,tensor(2.5049),0.0,tensor(3.2684),tensor(0.1313)
29,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.9081),tensor(0.1010)
30,MLP,MNIST,MNIST,tensor(2.2609),0.0,tensor(2.7711),tensor(0.3030)
31,MLP,MNIST,FashionMNIST,tensor(2.9667),0.0,tensor(2.5843),tensor(0.3333)
32,MLP,MNIST,KMNIST,tensor(2.4252),0.0,tensor(2.8660),tensor(0.2525)
33,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.7394),tensor(0.1717)
34,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6881),tensor(0.1515)
35,MLP,MNIST,MNIST,tensor(1.0865),1.0,tensor(2.5560),tensor(0.1919)
36,MLP,MNIST,FashionMNIST,tensor(2.1284),0.0,tensor(2.6350),tensor(0.3636)
37,MLP,MNIST,KMNIST,tensor(2.7853),0.0,tensor(3.1045),tensor(0.2121)
38,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.9754),tensor(0.1212)
39,MLP,MNIST,SVHN,tensor(2.5871),0.0,tensor(3.0420),tensor(0.1010)
40,MLP,MNIST,MNIST,tensor(2.5232),0.0,tensor(2.6695),tensor(0.3333)
41,MLP,MNIST,FashionMNIST,tensor(2.3138),0.0,tensor(2.5425),tensor(0.3939)
42,MLP,MNIST,KMNIST,tensor(2.3699),0.0,tensor(3.5393),tensor(0.1616)
43,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(3.2188),tensor(0.1414)
44,MLP,MNIST,SVHN,tensor(2.3820),0.0,tensor(2.9418),tensor(0.0909)
45,MLP,MNIST,MNIST,tensor(1.9952),1.0,tensor(2.7696),tensor(0.3333)
46,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.6706),tensor(0.2323)
47,MLP,MNIST,KMNIST,tensor(2.3403),0.0,tensor(2.8216),tensor(0.1414)
48,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6567),tensor(0.1414)
49,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6068),tensor(0.0707)
50,MLP,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.7860),tensor(0.1111)
51,MLP,MNIST,FashionMNIST,tensor(2.4289),0.0,tensor(2.5120),tensor(0.3636)
52,MLP,MNIST,KMNIST,tensor(1.8416),1.0,tensor(3.0897),tensor(0.1818)
53,MLP,MNIST,CIFAR10,tensor(2.3026),1.0,tensor(3.0356),tensor(0.0707)
54,MLP,MNIST,SVHN,tensor(2.3700),0.0,tensor(2.9225),tensor(0.1414)
55,MLP,MNIST,MNIST,tensor(2.5743),0.0,tensor(2.8428),tensor(0.3232)
56,MLP,MNIST,FashionMNIST,tensor(2.1489),0.0,tensor(2.7597),tensor(0.3131)
57,MLP,MNIST,KMNIST,tensor(2.3727),0.0,tensor(3.2229),tensor(0.2323)
58,MLP,MNIST,CIFAR10,tensor(2.1939),1.0,tensor(3.2987),tensor(0.1010)
59,MLP,MNIST,SVHN,tensor(2.6908),0.0,tensor(2.7919),tensor(0.0505)
60,MLP,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.6858),tensor(0.1616)
